
depth	Q	c	P	E	Y	L	X	a	t	"(Qtz,calcite,Pyrite,Epidote,pYrrhotite,chLorite,aXinite,actinolite,tourmaline)"
1	-	-	-	-	-	-	-	-	-	
6610	c	c	c	c	c	c	c	c	c
9320	t	-	r	r	-	r	-	-	-
9330	t	-	r	r	-	r	-	-	-
9340	t	-	r	r	-	r	-	-	-
9350	t	-	r	r	-	r	-	-	-
9360	t	-	r	r	-	r	-	-	-
9370	t	-	r	r	-	r	-	-	-
9380	r	-	r	r	-	r	-	-	-
9390	r	-	r	r	-	r	-	-	-
9400	r	-	r	r	-	r	-	-	-
9410	r	-	r	r	-	r	-	-	-
9420	r	-	r	r	-	r	-	-	-
9430	r	-	r	r	-	r	-	-	-
9440	r	-	r	r	-	r	-	-	-
